Response ID,Text,Follow-up Question ID or Solution ID
100,Yes,10
101,No,10
110,Academic,11
111,Social,11
112,Financial,11
113,Emotional,11
120,Passing & Preparing for assesments,13
121,Meeting Deadlines,14
122,Help With Class Logistics,15
123,Developing Time management Skills,16
124,Help with Job/Coop Search,17
130,Trouble dealing with test anxiety,1300
131,Unsure how to effectively study,1310
132,Consistently doing poorly on assesments,1320
133,Struggling to understand class material,1330
140,Feeling Burnout,1400
141,Struggling with time management,16
150,Unsure about important dates of the semester,1500
151,How to effectively Prepare for class registration,1510
160,Don't know where to begin developing time managing skills,1600
161,My time manageming method is ineffective or inconsistent,1610
170,Unsure how to prepare for Job/Coop Search,1700
171,Coping with poor success w/ job search,1710
172,Afraid of not landing a job,1720
173,Trouble making friends,
174,Unsure where to get information on  opportunities to meet people?,
175,Touble Handling Interpersonal Conflicts,
176,Campus Events,
177,Clubs & Organizations,
178,Intramurals,
179,Group Fitness,
180,Social-Event App,
181,Family,
182,Friends,
183,Roommate,
184,Job/Coop,
185,Confused where to start,
186,Need help creating & managing your budget,
187,Current budgeting method isn't effective. Need pointers,
188,Confused About Deadlines,
189,Confused where to go to find Financial Information,
190,New to Work-Study,
191,Want General Information,
192,Undergrad,
193,Graduate,
194,,
195,,
196,,
