Solution ID,HeaderText,Emotion Approximation,Info Listing ID 1,Info Listing ID 2,Info Listing ID 3,Info Listing ID 4,Info Listing ID 5,Info Listing ID 6,Info Listing ID 7
1101,"Oh, our apologies. Have a splendid day!",,,,,,,,
1300,"As natural as it is to feel nervous before and during an exam, there is a point where it becomes massively distracting. The constant feeling of worry, self-doubt and low confidence can swiftly interfere with your test experience (such as trouble recalling information or thinking clearly). Below are some helpful resources to help identify and manage test anxiety:","Based on your responses, we think you may be feeling fearful and/or tense.",13000,13001,13002,,,,
1310,"Your studying method also plays a large role in how well you can do on exams. For instance, you may find studying in concentrated 20-minute blocks or reexplaining the content to your friend to be more helpful than studying for a couple of hours straight. Check out these resources for guidance on how to develop good study habits:","Based on your responses, we think you may be feeling annoyed.",13100,13101,,,,,
1320,"If you’re noticing a pattern of doing poorly on quizzes or tests, and you’re struggling to pinpoint the reason, check out this resource for some pointers:","Based on your responses, we think you may be feeling frustrated and/or sad.",13200,,,,,,
1330,"Gaining a good grasp of the class material is a great start to preparing yourself for an exam. If you’re finding yourself struggling to keep up with the material, here are a few tips:","Based on your responses, we think you may be feeling frustrated and/or annoyed.",13300,13301,13302,13303,13304,,
1400,"With all the responsibilities students typically have, it should not come as a surprise that burnout is increasing among college students. Symptoms like constant exhaustion, low motivation, and self-esteem, heavy procrastination are all good burnout indicators and can easily make meeting deadlines difficult or even impossible. Check out these sources for help identifying causes/symptoms of burnout and how to start recovering from it:","Based on your responses, we think you may be feeling tired, gloomy, bored, or, at worst, depressed.",14000,14001,,,,,
1500,"Each year Northeastern posts their academic calendar filled with important dates like “last day to drop a class with/without W” or “Last Day of ‘I AM HERE’ for fall classes.” If you are unsure about any important class logistical deadlines, please refer to the registrar’s academic calendar webpage:","Based on your responses, we think you may be feeling alarmed and/or annoyed.",15000,,,,,,
1510,Here are some useful tips to prepare for class registration:,"Based on your responses, we think you may be feeling afraid and/or tense.",15100,15101,15102,15103,15104,15105,
1600,"There are many resources to help with time management. However, the abundance of resources can make it difficult to know which one to follow. Here are some tips and resources to help you start developing a time management routine:","Based on your responses, we think you may be feeling frustrated.",16000,16001,16002,16003,,,
1610,There are many mistakes you may encounter while trying to manage your time. Here are some resources outlining the common challenges of time management: ,"Based on your responses, we think you may be feeling annoyed and/or frustrated.",16100,16101,,,,,
1700,"Tailoring and writing cover letters, researching companies, creating a portfolio, or even practicing interviews are among some of the extra steps you should take to adequately prepare for job searching. Here are some resources to help you get started on your job search preparation:","Based on your responses, we think you may be feeling tense and/or afraid.",17000,17001,17002,17003,,,
1710,"If you’re noticing a pattern of poor results from your coop search and you’re struggling to pinpoint the cause, check out this resource for some pointers:","Based on your responses, we think you may be feeling sad, frustrated, and/or annoyed.",17100,,,,,,
1720,"To feel anxious searching for jobs is natural and almost welcomed as it keeps you on your toes. However, it’s important to not let it tip over from being a motivating force to an overwhelming and destructive emotion. For some help coping with job anxiety, check out this resource:","Based on your responses, we think you may be feeling afraid and/or gloomy.",17200,,,,,,
1800,"If you’re struggling to make deep friendships, then consider these resources that offer advice on seeking and cultivating friendships and the mistakes to avoid:","Based on your responses, we think you may be feeling sad and frustrated.",18000,18001,18002,,,,
1810,"Participating in activities you like with other individuals is a great way to meet people. Campus events, clubs, organizations, and intramural sports are some of the primary ways to mingle with other students at Northeastern. To learn more about each of these opportunities check out the resources below:","Based on your responses, we think you may be feeling annoyed and possibly excited.",18100,18101,18102,18103,18104,18105,18106
1900,"The proximity, strong rapport, and inability to choose our family are among the main reasons why conflicts with them tend to be the most intense and painful to deal with. This can make it difficult to know where to even begin addressing an issue with them. To help you out, we’ve","Based on your responses, we think you may be feeling afraid, tense, and/or angry.",19000,19001,,,,,
1910,"Things like an unmatched level of reciprocity or lack of respect for your boundary or even frequent ghosting are among some of the hurtful actions a friend can do to you. Before cutting them off or attacking them for things like these, try having a discussion with them to address the issue. For help navigating that discussion and for general advice dealing with conflicts with friends, check these resources we’ve gathered for you: ","Based on your responses, we think you may be feeling afraid, tense, and/or angry.",19100,19101,,,,,
1920,"It isn’t necessarily the easiest thing to respectfully communicate to your roommate that their messy living habits and poor personal hygiene bother you. However, with some preparation and practice, addressing roommate conflicts will become easier. Here are some tips and resources to help you:","Based on your responses, we think you may be feeling afraid, tense, and/or angry.",19200,19201,19202,,,,
